utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
11.28,-0.899604388333977,1.56,-8.095,1.9375,False,True,False,False,True,True,0,10.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/10.0/1707370568,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
7.74,-2.49360038238866,0.2,-706.385,7.14125,False,True,False,False,False,True,0,100.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/100.0/1707372259,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
0.66,-0.31489203958488593,0.0,-0.3525,0.10125,False,True,False,False,False,True,0,10.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/10.0/1707372088,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
1.68,-1.1732049294508204,0.0,-168.92,8.53,False,True,False,False,True,True,0,20.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/20.0/1707373911,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
1.82,-0.896956538819364,0.0,-17.405,0.96125,False,True,False,False,False,True,0,20.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/20.0/1707375572,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
98.44,-73.82970000121921,0.0,98.44,1817.25,False,True,False,False,True,True,0,0.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/0.0/1707414279,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.32,-73.70011253560199,0.0,98.32,1811.85,False,True,False,False,False,True,0,0.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/0.0/1707414270,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
84.2,-61.2815113371639,0.0,10.415874999999996,1475.6825,False,True,False,False,True,True,0,0.05,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/0.05/1707416994,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.32,-73.70011253560199,0.0,7.727499999999996,1811.85,False,True,False,False,False,True,0,0.05,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/SplitNoUtility/0.05/1707417186,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/split_diff/Joint/0.0/1707336619/best/best_model.ckpt,,True,True,False,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
75.1,-50.613577978754456,0.0,-42.96862500000001,1180.68625,False,True,False,False,True,True,0,0.1,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/SplitNoUtility/0.1/1707419718,20,0.0003,250000,50,20,100,10,100,0.98,,Models/JobNoOccupy/Simple/split_diff/Joint/0.0/1707336611/best/best_model.ckpt,,True,True,False,False,False,200,"['relative_job', 'grid', 'relative_util']"
