utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
95.66,-71.4683976032462,0.0,-254.87575,1752.67875,False,True,False,False,True,True,0,0.2,split_diff,warm0/past0.5,JobNoOccupyWarmStartSimple,0.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.5/Simple/split_diff/Joint/0.2/1709240261,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-268.44425,1837.12125,False,True,False,False,True,True,0,0.2,split_diff,warm5/past0.5,JobNoOccupyWarmStartSimple,5.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.5/Simple/split_diff/Joint/0.2/1709240283,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-268.44425,1837.12125,False,True,False,False,True,True,0,0.2,split_diff,warm10/past0.5,JobNoOccupyWarmStartSimple,10.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.5/Simple/split_diff/Joint/0.2/1709240310,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
55.48,-8.800196430825304,3.6,-17.89625,146.7525,False,True,False,False,True,True,0,0.5,split_diff,warm0/past1,JobNoOccupyWarmStartSimple,0.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past1/Simple/split_diff/Joint/0.5/1709241537,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
82.4,-1.6395826207701725,13.14,66.2475,32.305,False,True,False,False,True,True,0,0.5,split_diff,warm5/past1,JobNoOccupyWarmStartSimple,5.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past1/Simple/split_diff/Joint/0.5/1709241561,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
87.98,-2.1513775601732363,12.72,64.726875,46.50625,False,True,False,False,True,True,0,0.5,split_diff,warm10/past1,JobNoOccupyWarmStartSimple,10.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past1/Simple/split_diff/Joint/0.5/1709241589,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
94.96,-70.75454807061743,0.0,-777.57125,1745.0625,False,True,False,False,True,True,0,0.5,split_diff,warm0/past0.9,JobNoOccupyWarmStartSimple,0.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.9/Simple/split_diff/Joint/0.5/1709242816,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.96,-74.21970000121273,0.0,-819.235,1836.39,False,True,False,False,True,True,0,0.5,split_diff,warm5/past0.9,JobNoOccupyWarmStartSimple,5.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.9/Simple/split_diff/Joint/0.5/1709242832,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-819.580625,1837.12125,False,True,False,False,True,True,0,0.5,split_diff,warm10/past0.9,JobNoOccupyWarmStartSimple,10.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.9/Simple/split_diff/Joint/0.5/1709242870,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-819.580625,1837.12125,False,True,False,False,True,True,0,0.5,split_diff,warm5/past0.5,JobNoOccupyWarmStartSimple,5.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.5/Simple/split_diff/Joint/0.5/1709244118,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
94.9,-71.01634126118489,0.0,-782.738125,1755.27625,False,True,False,False,True,True,0,0.5,split_diff,warm0/past0.5,JobNoOccupyWarmStartSimple,0.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.5/Simple/split_diff/Joint/0.5/1709244112,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-819.580625,1837.12125,False,True,False,False,True,True,0,0.5,split_diff,warm10/past0.5,JobNoOccupyWarmStartSimple,10.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.5/Simple/split_diff/Joint/0.5/1709244170,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
85.24,-1.0875884716730004,15.34,62.045,23.195,False,True,False,False,True,True,0,1.0,split_diff,warm5/past1,JobNoOccupyWarmStartSimple,5.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past1/Simple/split_diff/Joint/1.0/1709245404,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
57.7,-2.280936194119679,7.86,17.53625,40.16375,False,True,False,False,True,True,0,1.0,split_diff,warm0/past1,JobNoOccupyWarmStartSimple,0.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past1/Simple/split_diff/Joint/1.0/1709245407,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
71.26,-2.7367440306963275,7.38,24.52375,46.73625,False,True,False,False,True,True,0,1.0,split_diff,warm10/past1,JobNoOccupyWarmStartSimple,10.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past1/Simple/split_diff/Joint/1.0/1709245462,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
