,utility,fairness,min_utility,objective,variance,beta,base_beta
85,859.02,-100.09964214264542,11.78,-1743.4066200000004,8674.7554,0.30000000000000004,0.01
86,758.86,-63.95667838512477,17.44,-1222.9464800000003,4954.516199999999,0.3999999999999999,0.01
87,675.22,-51.45612916758495,20.76,-1050.5329000000002,3451.5058000000004,0.5,0.01
88,652.8,-36.434517820607766,24.26,-813.6604800000002,2444.1008,0.6000000000000001,0.01
89,569.02,-21.131617551574653,26.96,-307.61590000000007,1252.337,0.7000000000000002,0.01
90,535.34,-12.643621399133895,30.02,-32.04832000000004,709.2354,0.7999999999999998,0.01
91,503.26,-10.880323365734528,28.9,11.080419999999986,546.8661999999999,0.9,0.01
92,471.24,-6.138759064678698,30.26,166.36520000000004,304.8748,1.0,0.01
93,354.18,-2.7213580592298197,27.14,165.718,94.23100000000001,2.0,0.01
94,248.02,-3.7166602896634275,18.52,-170.70300000000003,83.74459999999999,5.0,0.01
95,233.04,-3.8210144835057975,17.42,-536.816,76.98559999999999,10.0,0.01
96,1193.14,-266.7306566297268,0.0,1193.14,32164.760199999997,0.0,0.04999999999999999
97,1185.18,-264.63203511719,0.0,1153.553125,31626.875,0.001,0.04999999999999999
98,1177.88,-263.17574335158855,0.0,1115.3586616,31260.6692,0.002,0.04999999999999999
99,1175.64,-261.7485327865292,0.0,1082.4990455999998,31046.984800000006,0.003,0.04999999999999999
100,1172.12,-260.07993369293433,0.04,1048.6945535999998,30856.361599999997,0.004,0.04999999999999999
101,1178.78,-261.84225772527736,0.06,1022.836665,31188.667,0.005,0.04999999999999999
102,1200.68,-270.0460200958362,0.02,1004.6207840000002,32676.536,0.006,0.04999999999999999
103,1152.58,-250.71807549459626,0.1,947.7416081999999,29262.62740000001,0.007000000000000001,0.04999999999999999
104,1176.08,-258.98217589750277,0.14,930.3798655999999,30712.5168,0.008,0.04999999999999999
105,1167.42,-256.7869107909044,0.04,894.7846325999999,30292.8186,0.009000000000000001,0.04999999999999999
106,1176.28,-260.2871667284147,0.04,866.4480199999998,30983.198000000008,0.01,0.04999999999999999
107,1172.32,-258.7823946208547,0.04,557.447048,30743.647600000004,0.02,0.04999999999999999
108,1149.32,-247.37325946443164,0.16,284.2750400000001,28834.832000000002,0.03,0.04999999999999999
109,1141.04,-247.78201661648436,0.22,-11.596143999999986,28815.903599999998,0.04,0.04999999999999999
110,1141.6,-248.8604710961012,0.24,-303.87928,28909.585600000002,0.04999999999999999,0.04999999999999999
111,1154.02,-250.92361007169296,0.18,-612.481604,29441.693399999993,0.06,0.04999999999999999
112,1103.92,-234.377193466205,0.66,-761.6826760000002,26651.466800000002,0.07,0.04999999999999999
