system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,learning_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
0.84,-0.5754898124248271,0.0,0.12399999999999986,0.07160000000000001,False,True,False,False,False,True,Matthew,WS5,0,10.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/10.0/1712116164,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
165.74,-2.8026121077424473,5.22,156.22388,47.5806,False,True,False,False,False,True,Matthew,WS5,0,0.2,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/0.2/1712120586,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
355.62,-52.79749237628445,0.0,-37612.416,1898.4017999999999,False,True,False,False,False,True,Matthew,WS5,0,20.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/20.0/1712121491,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
0.74,-0.48557972251473713,0.0,-2.390000000000001,0.0626,False,True,False,False,False,True,Matthew,WS5,0,50.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/50.0/1712126265,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
309.1,-50.815519731389095,0.16,309.1,1650.3134,False,True,False,False,False,True,Matthew,WS5,0,0.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.0/1712153884,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
368.84,-55.17772702372025,0.04,348.379456,2046.0544,False,True,False,False,False,True,Matthew,WS5,0,0.01,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.01/1712157285,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
334.1,-68.00901634985536,0.0,288.40081200000003,2284.9594,False,True,False,False,False,True,Matthew,WS5,0,0.02,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.02/1712162369,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
329.58,-60.25569618773598,0.08,229.52261,2001.1478,False,True,False,False,False,True,Matthew,WS5,0,0.05,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.05/1712166564,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
286.84,-22.914882554550644,0.86,217.8674,689.7260000000001,False,True,False,False,False,True,Matthew,WS5,0,0.1,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.1/1712170125,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
194.22,-3.1172695451050094,6.76,182.36764,59.261799999999994,False,True,False,False,False,True,Matthew,WS5,0,0.2,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.2/1712173167,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
