learning_beta,split,multi_head,learn_utility,learn_fairness,system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,phased_training,phase_length,observation_space
5000.0,True,False,False,True,47.599999999999966,-0.288055972013993,0.07,-240.6000000000001,0.05764,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/3,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,64.19999999999999,-0.0115942028985507,0.12,52.6,0.00232,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/5,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,64.19999999999999,-0.0067966016991504,0.15,57.4,0.00136,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/2,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,90.94400000000002,-0.2964517741129435,0.0,-205.656,0.05932,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/4,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,71.99999999999999,-0.0725637181409295,0.08,-0.6000000000000085,0.01452,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/1,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,34.39999999999999,-0.2362818590704647,0.0,-202.0,0.04728,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/9,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,71.0,-0.0525737131434282,0.04,18.4,0.0105199999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/10,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
5000.0,True,False,False,True,70.0,-0.0373813093453273,0.14,32.60000000000001,0.0074799999999999,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/5000.0/8,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,73.00000000000001,-0.0993503248375811,0.04,53.12000000000001,0.01988,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/7,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
1000.0,True,False,False,True,56.60000000000001,-0.1021489255372314,0.0,36.16000000000002,0.02044,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/1000.0/6,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
